# caida-chi15-opp
# Q-W=1-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              5.0                              2.0                              2.0                              2.0                              2.0                              
3.0                              11.0                             4.0                              4.0                              4.0                              4.0                              
4.0                              19.0                             6.0                              6.0                              6.0                              6.0                              
5.0                              31.0                             8.0                              8.0                              8.0                              8.0                              
6.0                              51.0                             10.0                             10.0                             10.0                             10.0                             
7.0                              118.0                            12.0                             14.0                             14.0                             12.01                            
8.0                              282.0                            17.0                             18.0                             19.0                             17.0                             
9.0                              1282.03                          22                               23                               23.0                             22                               
10.0                             7549.0                           26.0                             27.0                             27.0                             26.0                             
11.0                             ?                                30.0                             30.0                             32.0                             30.0                             
12.0                             ?                                36.0                             37.0                             40.0                             39.0                             
13.0                             ?                                45.0                             46.0                             48.0                             48.0                             
14.0                             ?                                54.0                             55.01                            59.01                            58.01                            
15.0                             ?                                68                               70.0                             74.0                             70.0                             
16.0                             ?                                84.0                             87.0                             91.0                             85.01                            
17.0                             ?                                103.0                            106.0                            112.0                            105.0                            
18.0                             ?                                123.0                            134.0                            135.01                           126.0                            
19.0                             ?                                147.0                            162.0                            162.01                           146.0                            
20.0                             ?                                174.0                            190.0                            193.0                            170.0                            
21.0                             ?                                211.0                            227.0                            230.0                            199.0                            
22.0                             ?                                247.02                           264.0                            276.0                            233.03                           
23.0                             ?                                303.04                           305.0                            337.0                            279.0                            
24.0                             ?                                365.0                            348.0                            412.0                            338.0                            
25.0                             ?                                432.0                            438.0                            594.88                           401.03                           
26.0                             ?                                501.0                            545.0                            1004.4                           553.01                           
27.0                             ?                                716.0                            677.0                            1432.89                          1016.04                          
28.0                             ?                                972.99                           1034.34                          1904.87                          1426.0                           
29.0                             ?                                1318.03                          1435.74                          2394.0                           1832.0                           
30.0                             ?                                1774.0                           1854.74                          3762.0                           2199.03                          
